LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default,group,sector,marital,principal,interest_if_repaid,loss_if_default,p_default,is_test,expected_value
20000,1,2,2,24,0,0,2,0,0,0,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,0,male,university,single,14619.0,2631.42,8771.4,0.27104679379728486,True,-459.27780124755554
60000,1,3,2,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,1,male,high-school,single,26324.0,4738.32,15794.4,0.15367072055214606,True,1583.0421227045395
400000,2,2,1,44,0,0,2,0,0,0,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,0,female,university,married,131595.0,23687.1,78957.0,0.12274124475965312,True,11088.435398765687
200000,1,1,1,53,2,2,2,2,2,2,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,1,male,graduate,married,138180.0,24872.399999999998,82908.0,0.7621417605919388,True,-57271.543813303404
280000,2,1,2,39,-1,-1,-1,0,0,-2,7524,0,3968,3868,0,0,0,3968,0,0,0,0,0,female,graduate,single,7524.0,1354.32,4514.4,0.1587791371960119,True,422.489701955021
100000,2,1,2,27,-2,-2,-2,-2,-2,-2,-2000,5555,0,0,0,0,7555,0,0,0,0,0,0,female,graduate,single,0.0,0.0,0.0,0.1482866342496762,True,0.0
20000,1,2,1,38,0,0,0,0,0,-1,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,1,male,university,married,17973.0,3235.14,10783.8,0.19288509674152993,True,531.0954018862967
140000,1,1,2,32,-2,-2,-2,-2,-2,-2,672,10212,850,415,100,1430,10212,850,415,100,1430,0,0,male,graduate,single,672.0,120.96,403.2,0.14392986773954258,True,45.51772052564135
60000,2,2,2,26,2,2,2,2,2,0,56685,55208,59175,60218,55447,55305,0,5000,2511,6,3000,3000,0,female,university,single,56685.0,10203.3,34011.0,0.7368045088966546,True,-22373.995597709356
360000,1,2,1,35,1,-2,-2,-2,-2,-2,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,0,male,university,married,0.0,0.0,0.0,0.3149659470317003,True,0.0
100000,2,1,2,24,0,0,0,0,0,0,52128,52692,54477,56076,60100,59713,2000,2677,3076,5080,3000,2033,0,female,graduate,single,52128.0,9383.039999999999,31276.8,0.08142283919782695,True,6072.400385870629
400000,1,2,1,34,-1,-1,-1,-1,-1,-1,19660,9666,11867,7839,14837,7959,9677,11867,7839,14837,7959,5712,0,male,university,married,19660.0,3538.7999999999997,11796.0,0.04671775909723053,True,2822.392507795789
240000,1,1,2,41,1,-1,-1,0,0,-1,95,2622,3301,3164,360,1737,2622,3301,0,360,1737,924,0,male,graduate,single,95.0,17.099999999999998,57.0,0.22626494349916654,True,0.33376768671175583
180000,1,2,2,28,-1,-1,-1,-1,-1,-1,1832,0,832,332,416,416,0,416,332,500,3500,832,0,male,university,single,1832.0,329.76,1099.2,0.1797574196420882,True,72.89383762824167
260000,2,1,1,60,1,-2,-1,-1,-1,-1,-1100,-1100,21400,0,969,869,0,22500,0,969,1000,0,0,female,graduate,married,0.0,0.0,0.0,0.2317012175433993,True,0.0
30000,2,3,2,26,0,0,0,0,0,0,9014,10406,11427,11935,13084,14206,1700,1500,1000,1500,1500,1500,0,female,high-school,single,9014.0,1622.52,5408.4,0.1698420412373804,True,428.37419542327746
140000,1,1,1,34,0,0,0,0,0,0,23944,28049,32073,43129,47086,48699,5000,5000,11885,5000,3000,5504,0,male,graduate,married,23944.0,4309.92,14366.4,0.07191043718913219,True,2966.897663715867
210000,1,3,1,45,2,3,4,4,5,6,115785,122904,129847,137277,145533,154105,10478,10478,11078,11078,11678,10478,1,male,high-school,married,115785.0,20841.3,69471.0,0.6469732548582842,True,-37588.342684737814
30000,1,1,2,41,2,2,2,2,2,0,24357,27453,26718,28168,27579,28321,3500,0,2200,0,1200,1250,0,male,graduate,single,24357.0,4384.26,14614.199999999999,0.7686923100569809,True,-10219.710104925149
250000,2,1,1,34,0,0,2,0,0,0,141223,156858,151841,152803,155997,160220,17994,0,5469,5656,6811,3920,0,female,graduate,married,141223.0,25420.14,84733.8,0.15069952217069862,True,8819.993876780194
60000,2,2,1,46,0,0,0,0,0,0,21148,23803,24908,26034,26655,27756,3000,1500,1500,1000,1500,1500,0,female,university,married,21148.0,3806.64,12688.8,0.14271557568225404,True,1452.4837842679196
50000,2,1,2,24,1,-2,-2,-2,-2,-2,-709,-709,-709,-2898,-3272,-3272,0,0,0,0,0,0,1,female,graduate,single,0.0,0.0,0.0,0.2783405085819459,True,0.0
80000,1,1,2,30,-2,-1,0,0,0,0,6187,100,600,1438,1919,5380,504,500,1000,500,3500,0,0,male,graduate,single,6187.0,1113.6599999999999,3712.2,0.15616473319523613,True,360.0308606624376
20000,2,2,2,22,0,0,0,0,0,0,16001,12622,13221,13130,14034,14906,1212,1201,500,1500,1500,1000,0,female,university,single,16001.0,2880.18,9600.6,0.18196657088673157,True,609.0952614082983
80000,2,3,2,35,0,-1,0,0,0,0,49608,12412,14873,17364,17770,17460,12500,6500,3000,2000,3000,2000,0,female,high-school,single,49608.0,8929.44,29764.8,0.07284373775165609,True,6110.806928940359
60000,2,2,1,24,0,0,0,0,0,0,58024,57891,48839,18971,19323,19395,2500,1600,3000,1000,737,2000,1,female,university,married,58024.0,10444.32,34814.4,0.16187166643048628,True,3118.215573089222
20000,1,2,2,25,0,0,0,0,0,-1,10642,11677,13070,12280,1615,1620,1200,1593,601,135,1824,0,0,male,university,single,10642.0,1915.56,6385.2,0.18741409950086085,True,359.8805394272342
130000,2,2,1,34,1,-1,0,0,0,0,0,5396,10270,13576,13864,14636,5396,5000,3500,501,1000,2000,0,female,university,married,0.0,0.0,0.0,0.1427350601647834,True,0.0
60000,2,1,2,27,2,0,0,0,2,0,19625,20347,21669,23005,22499,22873,1342,1664,2000,0,900,846,1,female,graduate,single,19625.0,3532.5,11775.0,0.7401430635882391,True,-7797.2399458769705
180000,2,1,2,29,-1,-1,-1,-2,-1,0,11386,199,0,0,17227,17042,199,0,0,17227,341,5114,0,female,graduate,single,11386.0,2049.48,6831.599999999999,0.11052138223725842,True,1067.9307626403292
150000,2,2,1,34,-2,-2,-2,-2,-2,-2,0,0,0,116,0,1500,0,0,116,0,1500,0,0,female,university,married,0.0,0.0,0.0,0.2018730878167073,True,0.0
20000,2,1,2,22,0,0,0,0,-1,0,18553,19446,19065,8332,18868,19247,1500,1032,541,20000,693,1000,0,female,graduate,single,18553.0,3339.54,11131.8,0.17353081990998048,True,828.3165046039028
500000,2,1,1,34,-2,-2,-2,-1,-1,-1,412,138,2299,1251,1206,1151,138,2299,1251,1206,1151,15816,0,female,graduate,married,412.0,74.16,247.2,0.12609711267864673,True,33.637431869590074
180000,2,1,1,38,-2,-2,-2,-2,-2,-2,750,0,0,0,0,0,0,0,0,0,0,0,0,female,graduate,married,750.0,135.0,450.0,0.19996729054929901,True,18.01913502866006
140000,1,1,2,31,0,0,2,0,0,2,27123,27299,17985,20225,27407,10833,25000,0,3000,7800,0,2500,0,male,graduate,single,27123.0,4882.139999999999,16273.8,0.179721904708612,True,1079.9541672988867
140000,2,1,2,26,-1,0,-1,-1,-1,-1,13424,18000,13001,5818,13506,487,10000,13001,5841,13506,487,7004,0,female,graduate,single,13424.0,2416.3199999999997,8054.4,0.061085949218374146,True,1776.706129800185
20000,1,3,1,43,-1,-1,0,0,0,0,227,20351,20237,19339,19450,19337,22359,1305,1258,1459,3457,1700,0,male,high-school,married,227.0,40.86,136.2,0.15431318238503772,True,13.537307926905228
330000,2,1,1,50,-1,-1,-1,-1,-2,-2,8872,4337,2854,1690,0,1709,4345,2854,1702,0,1709,258,0,female,graduate,married,8872.0,1596.96,5323.2,0.09023761923847656,True,972.5012368506641
220000,1,1,2,24,0,0,0,-1,-1,-1,105607,108917,111520,8303,0,85632,5000,5050,8303,0,85632,0,0,male,graduate,single,105607.0,19009.26,63364.2,0.0905444281495394,True,11550.802169601038
40000,2,3,1,43,0,0,0,0,0,0,38257,38901,38103,36207,33138,31339,1700,1504,1200,1500,1500,1000,0,female,high-school,married,38257.0,6886.259999999999,22954.2,0.18389067083127383,True,1398.8777926862049
470000,1,2,2,27,2,2,2,2,0,0,296573,303320,307843,479978,305145,309959,13000,11001,0,10484,10838,10367,0,male,university,single,296573.0,53383.14,177943.8,0.6811717590959356,True,-104190.23864607995
30000,1,3,1,42,-1,-1,-1,-1,-1,2,390,390,390,240,1320,780,390,390,240,1470,0,0,0,male,high-school,married,390.0,70.2,234.0,0.28508964159779254,True,-16.52426897404849
240000,2,2,1,36,1,-2,-2,-2,-2,-2,-946,-946,-946,-946,-946,-946,0,0,0,0,0,0,1,female,university,married,0.0,0.0,0.0,0.23436450455268593,True,0.0
360000,2,1,1,40,2,2,2,0,0,0,105167,115468,112157,114690,117845,120238,12000,0,5900,5000,4500,4700,1,female,graduate,married,105167.0,18930.059999999998,63100.2,0.6828826601667843,True,-37086.982162972956
320000,2,2,2,33,0,0,0,0,0,0,91653,94037,108597,65913,43805,33263,10042,18832,2117,2076,5045,3754,0,female,university,single,91653.0,16497.54,54991.799999999996,0.04218765313897508,True,13481.572520945745
350000,1,3,1,44,-1,-1,-1,-1,-1,-2,3265,2686,1864,569,0,0,2686,1864,569,0,0,0,0,male,high-school,married,3265.0,587.6999999999999,1959.0,0.1379000793082335,True,236.50986802572174
50000,1,2,1,26,0,0,-2,-1,-1,0,102800,0,0,2624,45567,46557,0,0,2624,45567,1747,2000,0,male,university,married,50000.0,9000.0,30000.0,0.13430315302896856,True,3762.177031870226
240000,2,3,1,50,0,0,0,0,0,0,234205,231669,214642,207642,210375,214694,10116,9150,8008,8000,8009,7714,1,female,high-school,married,234205.0,42156.9,140523.0,0.11964187105169148,True,20300.734960464106
140000,2,2,3,41,0,0,0,0,0,0,19346,21708,22940,19068,16409,16383,3000,2000,2198,1000,3000,2399,1,female,university,other,19346.0,3482.2799999999997,11607.6,0.08982187879759859,True,2126.8786275696925
180000,2,1,2,32,-1,-1,2,2,-1,-1,3139,5853,2821,0,2821,0,2821,0,0,2821,0,176,0,female,graduate,single,3139.0,565.02,1883.3999999999999,0.3791417933272835,True,-363.2783496183874
30000,2,1,2,40,-1,-1,2,2,2,2,142,215,139,19,19,79,355,120,0,0,60,60,0,female,graduate,single,142.0,25.56,85.2,0.4848806565117001,True,-28.145381515235904
250000,2,2,1,75,0,-1,-1,-1,-1,-1,52874,1631,1536,1010,5572,794,1631,1536,1010,5572,794,1184,0,female,university,married,52874.0,9517.32,31724.399999999998,0.0833408536278544,True,6080.199850119045
100000,2,2,2,27,0,0,0,0,0,0,37767,34457,30036,30337,30997,32904,1788,1799,1100,1150,2423,0,0,female,university,single,37767.0,6798.0599999999995,22660.2,0.10340658620036355,True,3751.8818979972775
330000,1,1,2,25,0,0,0,0,2,0,46140,45781,48139,51137,39450,25358,2504,4007,5056,74,1023,2566,0,male,graduate,single,46140.0,8305.199999999999,27684.0,0.10326438528871347,True,4588.797384967432
50000,1,3,1,46,0,0,0,0,0,0,35713,15392,16099,16418,16765,17484,1561,1268,587,611,1000,2000,0,male,high-school,married,35713.0,6428.34,21427.8,0.15692073814032834,True,2057.133949459674
50000,2,2,2,26,1,2,2,0,0,0,50867,51486,48869,30115,29527,29998,1710,136,1206,2002,2005,3003,0,female,university,single,50000.0,9000.0,30000.0,0.3981028910273959,True,-6526.012750068439
160000,2,1,2,28,0,0,0,0,-1,0,70243,47779,28052,7222,99669,84426,7042,2000,1000,99669,12600,10000,0,female,graduate,single,70243.0,12643.74,42145.799999999996,0.060561262717891064,True,9325.6162738676
50000,1,2,1,25,0,0,0,0,0,0,27699,28513,29341,29928,29533,28538,1565,1393,980,994,1024,886,0,male,university,married,27699.0,4985.82,16619.399999999998,0.1682133948448014,True,1351.5325974312
140000,2,2,1,48,0,-1,-1,-1,-1,-1,1154,1233,862,1355,1130,21361,1233,1075,1355,1130,21361,1347,0,female,university,married,1154.0,207.72,692.4,0.14669040088798385,True,75.68103635270796
510000,2,1,2,29,0,0,0,0,0,0,78331,99414,107686,103776,87265,36739,40010,20094,5000,5001,25365,65000,0,female,graduate,single,78331.0,14099.58,46998.6,0.032044830935606256,True,12141.699151426761
50000,1,2,2,29,0,0,0,0,0,0,49276,35100,32563,27823,29130,28309,1602,1400,3000,3130,1062,6318,0,male,university,single,49276.0,8869.68,29565.6,0.13820882626158912,True,3557.5850641644693
160000,2,1,1,38,-1,-1,-1,-1,2,-1,4473,4664,5969,18941,16578,12652,4664,5969,18941,0,12652,1916,0,female,graduate,married,4473.0,805.14,2683.7999999999997,0.16907183350144964,True,215.25851722345237
230000,2,1,2,37,-2,-2,-2,-2,-2,-2,2283,50815,0,0,299,338,51315,0,0,299,338,0,0,female,graduate,single,2283.0,410.94,1369.8,0.11895625394328926,True,199.1098403530271
150000,2,2,1,25,-1,-1,-2,-1,-1,-1,6156,0,0,316,316,316,0,0,316,316,316,316,0,female,university,married,6156.0,1108.08,3693.6,0.1840196553440024,True,224.47650132781064
10000,1,3,2,23,0,0,0,0,0,2,6974,7838,9002,9182,9729,9411,1134,1298,478,847,0,175,0,male,high-school,single,6974.0,1255.32,4184.4,0.2826208572480429,True,-282.05832958932376
130000,2,3,2,49,0,0,0,0,0,0,89003,91362,72197,49654,28065,27500,4100,3095,1630,561,600,0,1,female,high-school,single,89003.0,16020.539999999999,53401.799999999996,0.10855397610336179,True,8484.468962600542
50000,2,1,2,26,-1,-1,-1,-1,-1,-1,1156,316,316,316,316,316,316,316,316,316,316,316,0,female,graduate,single,1156.0,208.07999999999998,693.6,0.20880844278139113,True,19.801603312875244
250000,2,2,1,31,0,0,0,0,0,0,103109,102594,97109,99029,100871,101299,4000,4500,5000,4000,5000,4400,0,female,university,married,103109.0,18559.62,61865.399999999994,0.05509501261234282,True,14128.602508752074
230000,2,3,1,32,0,0,0,0,0,0,195126,88743,92195,94814,98182,98457,5000,5000,5000,5000,4000,5000,0,female,high-school,married,195126.0,35122.68,117075.59999999999,0.070908817722354,True,24330.479905824206
440000,2,2,1,46,0,0,0,0,0,0,180641,181557,149944,113135,105280,97622,8610,6907,3727,3800,4001,2701,0,female,university,married,180641.0,32515.379999999997,108384.59999999999,0.07079281998341366,True,22540.67308019341
280000,1,1,2,33,-1,-1,-1,-1,-1,-1,898,898,325,898,325,-339603,898,325,898,325,0,345293,1,male,graduate,single,898.0,161.64,538.8,0.1291105734050884,True,71.20578996413987
130000,1,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,1500,0,male,graduate,single,0.0,0.0,0.0,0.3002032506759903,True,0.0
120000,2,2,1,29,-1,-1,-1,-1,-1,-1,1686,657,2179,1423,0,1820,657,2319,1423,0,1820,2496,0,female,university,married,1686.0,303.47999999999996,1011.5999999999999,0.14561567674950376,True,111.98373582026258
210000,2,2,1,36,0,0,0,0,0,0,143225,142996,144415,148190,147993,131629,6483,5082,6000,5900,4544,4700,0,female,university,married,143225.0,25780.5,85935.0,0.0797716406376014,True,16868.77128035004
200000,2,1,2,27,-1,-1,-1,0,0,0,871,665,960,4242,4084,7414,665,960,3908,1014,3500,2880,0,female,graduate,single,871.0,156.78,522.6,0.12768571128767484,True,70.03288146537948
110000,2,2,2,26,-2,-2,-2,-2,-2,-2,432,3220,5704,1256,1848,400,3220,5904,0,3000,0,0,0,female,university,single,432.0,77.75999999999999,259.2,0.13611093549985828,True,31.896059173967743
500000,2,2,1,36,-1,-1,-1,-1,-1,-1,10483,23956,0,8500,4590,0,23962,0,8500,4590,0,0,0,female,university,married,10483.0,1886.9399999999998,6289.8,0.07511942456209644,True,1272.7079964061234
300000,2,2,1,27,1,-1,-1,-2,-2,-2,0,5215,0,0,0,0,5215,0,0,0,0,0,0,female,university,married,0.0,0.0,0.0,0.23635583062477122,True,0.0
30000,1,3,1,55,2,2,2,3,3,4,9720,10613,11339,12841,13836,14514,1200,1200,2000,1500,1500,1500,1,male,high-school,married,9720.0,1749.6,5832.0,0.7685927602937516,True,-4077.562871443107
60000,2,1,2,27,-1,-1,-1,-1,-1,-1,20847,13801,14366,4889,273,11736,13809,14583,4889,273,13557,0,0,female,graduate,single,20847.0,3752.46,12508.199999999999,0.09918490451699745,True,2139.64799051664
180000,2,2,1,34,0,0,0,0,0,0,143301,146333,147042,127814,130331,132845,7000,5000,5000,4900,5000,5100,0,female,university,married,143301.0,25794.18,85980.59999999999,0.0770215670849325,True,17185.11128382643
200000,2,3,1,49,-1,2,2,2,0,0,52439,51040,56205,54723,58657,59983,0,6000,0,5000,2286,3000,1,female,high-school,married,52439.0,9439.02,31463.399999999998,0.24412242511674154,True,-546.1779635435105
60000,1,2,2,23,0,0,0,0,0,0,49507,33282,34312,17277,17808,19346,1970,2000,618,809,2000,616,1,male,university,single,49507.0,8911.26,29704.199999999997,0.1351260667200199,True,3693.304775615741
260000,2,3,1,53,1,-1,-1,-2,-2,-1,0,165,526,452,397,485,165,526,452,397,485,459,0,female,high-school,married,0.0,0.0,0.0,0.23154891510168993,True,0.0
360000,2,2,2,32,0,0,0,0,0,0,93029,94054,91834,95631,100123,100738,10000,7000,10000,10000,10000,10000,0,female,university,single,93029.0,16745.22,55817.4,0.04386856658150725,True,13562.00187320139
220000,2,2,1,41,-1,2,2,-1,2,-1,650,650,325,950,475,325,325,0,950,0,325,325,1,female,university,married,650.0,117.0,390.0,0.4342682309131904,True,-103.17399307298753
140000,2,2,2,31,-2,-2,-2,-2,-2,-2,390,0,0,0,0,0,0,0,0,0,0,0,0,female,university,single,390.0,70.2,234.0,0.2192828345071629,True,3.494161742921044
50000,2,2,1,31,0,0,0,0,0,0,46512,47716,49675,30929,30078,29170,1974,4406,1061,1073,1046,1047,1,female,university,married,46512.0,8372.16,27907.2,0.14693317194857042,True,3041.5185589359116
200000,2,1,2,29,-1,2,-1,-1,-1,2,2393,183,4847,20183,24815,24248,0,4872,20183,5000,0,1000,0,female,graduate,single,2393.0,430.74,1435.8,0.2513561073462668,True,-38.42622860610078
200000,1,1,1,36,1,-2,-1,-1,-2,-1,-14386,-13543,3432,-3684,0,1386,10118,47015,0,4000,100000,10000,0,male,graduate,married,0.0,0.0,0.0,0.120310753585541,True,0.0
380000,1,1,2,30,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,male,graduate,single,0.0,0.0,0.0,0.31133013021212175,True,0.0
50000,1,3,1,58,2,2,2,0,0,2,15899,18720,18122,18530,19089,18856,3400,0,1000,1001,634,638,0,male,high-school,married,15899.0,2861.8199999999997,9539.4,0.6974618899782639,True,-5787.558339236245
240000,2,2,2,26,0,0,0,0,0,0,141315,128940,124226,113133,113966,103360,6349,5834,3870,4000,3825,3520,0,female,university,single,141315.0,25436.7,84789.0,0.07459579188344956,True,17214.326622592453
320000,2,2,2,30,0,0,0,0,0,0,71305,71151,72029,72849,74374,74610,2589,2568,2570,2661,2781,2500,0,female,university,single,71305.0,12834.9,42783.0,0.052494218739177145,True,9915.28179158632
50000,1,2,2,32,4,3,2,0,0,0,45734,44741,43562,44039,45008,25775,0,0,1262,1358,1275,1590,0,male,university,single,45734.0,8232.119999999999,27440.399999999998,0.6571102926518707,True,-15208.660056829709
10000,1,2,2,24,-1,2,2,2,0,0,2887,1923,2989,2813,2008,2132,0,1500,0,0,150,0,0,male,university,single,2887.0,519.66,1732.2,0.4992065767118114,True,-604.4833218342596
300000,1,1,1,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,male,graduate,married,0.0,0.0,0.0,0.3268983706796219,True,0.0
180000,1,2,1,36,2,2,-2,-2,-2,-2,83538,0,0,0,0,0,0,0,0,0,0,0,1,male,university,married,83538.0,15036.84,50122.799999999996,0.6452635070871623,True,-27008.29782693694
30000,1,3,1,58,0,0,0,0,0,0,19143,20168,21229,21495,21800,22437,1640,1700,915,800,1000,1961,0,male,high-school,married,19143.0,3445.74,11485.8,0.14234702161538487,True,1320.2797528690162
50000,1,2,2,31,0,0,0,0,0,0,20526,15129,15093,9577,11139,12487,2000,3000,327,3000,3000,5000,1,male,university,single,20526.0,3694.68,12315.6,0.12243146903561515,True,1734.517899928471
410000,2,5,1,42,0,0,0,0,0,0,338106,342904,344464,240865,234939,240176,15000,14000,9000,8500,9000,8300,0,female,other,married,338106.0,60859.079999999994,202863.6,0.07026328171187943,True,42329.05904134816
80000,1,3,1,73,-1,0,0,2,2,2,63144,65631,68875,70646,72870,75018,3500,4330,3500,3500,3500,5100,1,male,high-school,married,63144.0,11365.92,37886.4,0.3212088607562381,True,-4454.361596801682
350000,1,1,1,38,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,male,graduate,married,0.0,0.0,0.0,0.33130019786285797,True,0.0
280000,2,2,1,39,1,-1,0,0,0,0,-1312,35918,37297,37154,32581,33316,38621,2000,1130,922,1011,5000,1,female,university,married,0.0,0.0,0.0,0.0814821535556084,True,0.0
310000,1,2,1,44,0,0,0,0,0,0,103797,91989,87720,76218,72090,71620,4400,4013,3011,3000,3001,2653,0,male,university,married,103797.0,18683.46,62278.2,0.05615150924597791,True,14137.340599940282
140000,2,1,2,27,0,0,0,0,0,0,142428,144105,143952,142590,142650,142620,10000,10000,6000,6000,6000,5600,0,female,graduate,single,140000.0,25200.0,84000.0,0.08553584464775228,True,15859.48576446545
100000,1,1,2,38,0,0,0,0,0,0,40810,42653,42351,43011,43011,28947,2502,1200,860,0,579,0,0,male,graduate,single,40810.0,7345.8,24486.0,0.13905609409477745,True,2919.394223993863
120000,2,2,2,25,2,2,2,2,2,2,120298,120822,109887,116313,119311,117167,4007,0,8272,5000,0,4400,0,female,university,single,120000.0,21600.0,72000.0,0.7415886451412449,True,-47812.69718522052
60000,2,3,3,42,0,0,0,0,0,0,41322,29091,28097,28665,28768,29064,1488,1394,962,1500,2541,2000,0,female,high-school,other,41322.0,7437.96,24793.2,0.15488560046494915,True,2445.8174297181495
120000,2,2,1,25,0,0,0,-2,-2,-2,26476,21393,0,0,0,0,6000,0,0,0,0,0,0,female,university,married,26476.0,4765.679999999999,15885.599999999999,0.12271422019929416,True,2231.4742786827205
200000,2,1,1,38,-1,-1,-2,-1,-1,-2,190,0,0,367,-150,-150,0,0,367,150,0,0,0,female,graduate,married,190.0,34.199999999999996,114.0,0.2001744237467138,True,4.5341504007370155
50000,2,3,1,35,-1,-1,-1,-2,-2,-2,22500,5000,0,0,0,0,5000,0,0,0,0,640,0,female,high-school,married,22500.0,4050.0,13500.0,0.15477970652077716,True,1333.6161505603604
50000,1,2,1,48,0,0,0,0,0,0,44338,43048,35639,18753,19091,19548,3629,3332,2000,2000,2000,2500,0,male,university,married,44338.0,7980.84,26602.8,0.1330312325074172,True,3380.135746207186
390000,2,1,2,27,0,0,0,0,0,0,304867,299998,300426,292869,292885,281826,13007,10612,10041,11000,10512,7000,1,female,graduate,single,304867.0,54876.06,182920.19999999998,0.13679356996642647,True,22347.060669935465
270000,2,2,1,32,1,2,2,2,2,2,234752,233036,229286,217644,223690,221413,10000,8000,0,16000,8000,0,1,female,university,married,234752.0,42255.36,140851.19999999998,0.5810449507465124,True,-64137.782136563306
